,District,Member,Party,Prior experience,Education,Assumed office,Residence,Born,Age,Surname,link,gender
321,Pennsylvania 2,Brendan Boyle,Democratic,Pennsylvania House of Representatives,University of Notre Dame (BA)Harvard University (MPP),2015,Philadelphia,1977-02-06,44,Boyle,/47357/brendan-boyle,1
322,Pennsylvania 3,Dwight Evans,Democratic,Pennsylvania House of Representatives,Community College of Philadelphia (AA)La Salle University (BA),2016 (special),Philadelphia,1954-05-16,67,Evans,/9128/dwight-evans,1
323,Pennsylvania 4,Madeleine Dean,Democratic,Pennsylvania House of Representatives,La Salle University (BA)Widener University (JD),2019,Jenkintown,1959-06-06,62,Dean,/136484/madeleine-dean,0
324,Pennsylvania 5,Mary Gay Scanlon,Democratic,Attorney,Colgate University (BA)University of Pennsylvania (JD),2018 (special),Swarthmore,1959-08-30,62,Scanlon,/178890/mary-scanlon,0
325,Pennsylvania 6,Chrissy Houlahan,Democratic,EntrepreneurU.S. Air Force,Stanford University (BS)Massachusetts Institute of Technology (MS),2019,Devon,1967-06-05,54,Houlahan,/178893/chrissy-houlahan,0
326,Pennsylvania 7,Susan Wild,Democratic,Solicitor of Allentown,American University (BA)George Washington University (JD),2018 (special),Allentown,1957-06-07,64,Wild,/178895/susan-wild,0
327,Pennsylvania 8,Matt Cartwright,Democratic,Attorney,"Hamilton College, New York (BA)University of Pennsylvania (JD)",2013,Moosic,1961-05-01,60,Cartwright,/136236/matt-cartwright,1
328,Pennsylvania 9,Dan Meuser,Republican,Secretary of Revenue of Pennsylvania,State University of New York Maritime CollegeCornell University,2019,Dallas,1964-02-10,57,Meuser,/102438/dan-meuser,1
329,Pennsylvania 10,Scott Perry,Republican,Pennsylvania House of RepresentativesBusinessmanU.S. Army,Pennsylvania State University (BS)United States Army War College (MS),2013,Dillsburg,1962-05-27,59,Perry,/59980/scott-perry,1
330,Pennsylvania 11,Lloyd Smucker,Republican,Pennsylvania Senate,Lebanon Valley CollegeFranklin and Marshall College,2017,Lancaster,1964-01-23,57,Smucker,/102454/lloyd-smucker,1
331,Pennsylvania 12,Fred Keller,Republican,Pennsylvania House of Representatives,–,2019 (special),Middleburg,1965-10-23,56,Keller,/119553/fred-keller,1
332,Pennsylvania 13,John Joyce,Republican,Dermatologist,"Pennsylvania State University, AltoonaPennsylvania State University, University Park (BS)Temple University (MD)",2019,Hollidaysburg,1957-02-08,64,Joyce,/178911/john-joyce,1
333,Pennsylvania 14,Guy Reschenthaler,Republican,Pennsylvania SenateJudgeU.S. Navy,"Pennsylvania State University, Behrend (BA)Duquesne University (JD)",2019,Peters Township,1983-04-17,38,Reschenthaler,/166004/guy-reschenthaler,1
334,Pennsylvania 15,Glenn Thompson,Republican,Chair of the Centre County Republican Committee,Pennsylvania State University (BS)Temple University (MEd),2009,Howard,1959-07-27,62,Thompson,/24046/gt-thompson-jr,1
335,Pennsylvania 16,Mike Kelly,Republican,Butler City Council,University of Notre Dame (BA),2011,Butler,1948-05-10,73,Kelly,/119463/mike-kelly-jr,1
336,Pennsylvania 17,Conor Lamb,Democratic,Assistant U.S. Attorney for the Western District of PennsylvaniaU.S. Marine Corps,"University of Pennsylvania (BA, JD)",2018 (special),Mt. Lebanon,1984-06-27,37,Lamb,/177656/conor-lamb,1
337,Pennsylvania 18,Mike Doyle,Democratic,Pennsylvania State Senate Chief of Staff,Pennsylvania State University (BS),1995,Pittsburgh,1953-08-05,68,Doyle,/21853/mike-doyle-jr,1
338,Rhode Island 1,David Cicilline,Democratic,Mayor of ProvidenceRhode Island House of Representatives,Brown University (BA)Georgetown University (JD),2011,Providence,1961-07-15,60,Cicilline,/7349/david-cicilline,1
339,Rhode Island 2,James Langevin,Democratic,Secretary of State of Rhode IslandRhode Island House of Representatives,Rhode Island College (BA)Harvard University (MPA),2001,Warwick,1964-04-22,57,Langevin,/55787/jim-langevin,1
340,South Carolina 1,Nancy Mace,Republican,South Carolina House of Representatives,The Citadel (BS)University of Georgia (MS),2021,Charleston,1977-12-04,44,Mace,/146076/nancy-mace,0
341,South Carolina 2,Joe Wilson,Republican,South Carolina Senate,Washington and Lee University (BA)University of South Carolina (JD),2001 (special),Springdale,1947-07-31,74,Wilson,/3985/joe-wilson-sr,1
342,South Carolina 3,Jeff Duncan,Republican,South Carolina House of Representatives,Clemson University (BA),2011,Laurens,1966-01-07,55,Duncan,/47967/jeff-duncan,1
343,South Carolina 4,William Timmons,Republican,AttorneyEntrepreneur,"George Washington University (BA)University of South Carolina (MA, JD)",2019,Greenville,1984-04-30,37,Timmons,/168923/william-timmons,1
344,South Carolina 5,Ralph Norman,Republican,South Carolina House of RepresentativesReal estate developer,Presbyterian College (BS),2017 (special),Rock Hill,1953-06-20,68,Norman,/47930/ralph-norman-jr,1
345,South Carolina 6,Jim Clyburn,Democratic,Political aideTeacher,South Carolina State University (BA),1993,Columbia,1940-07-21,81,Clyburn,/27066/jim-clyburn,1
346,South Carolina 7,Tom Rice,Republican,AttorneyBusinessmanHorry County Council Chair,"University of South Carolina (BS, MA, JD)",2013,Myrtle Beach,1957-08-04,64,Rice,/132382/tom-rice,1
347,South Dakota at-large,Dusty Johnson,Republican,Chief of Staff to the Governor of South DakotaSouth Dakota Public Utilities Commission,University of South Dakota (BA)University of Kansas (MPA),2019,Mitchell,1976-09-30,45,Johnson,/48307/dusty-johnson,1
348,Tennessee 1,Diana Harshbarger,Republican,Pharmacist,East Tennessee State University (BS)Mercer University (PharmD),2021,Kingsport,1960-01-01,61,Harshbarger,/190524/diana-harshbarger,0
349,Tennessee 2,Tim Burchett,Republican,Mayor of Knox CountyTennessee SenateTennessee House of Representatives,"University of Tennessee,Knoxville (BS)",2019,Knoxville,1964-08-25,57,Burchett,/24379/tim-burchett,1
350,Tennessee 3,Chuck Fleischmann,Republican,Attorney,University of Illinois at Urbana–Champaign (BA)University of Tennessee (JD),2011,Chattanooga,1962-10-11,59,Fleischmann,/123456/chuck-fleischmann,1
351,Tennessee 4,Scott DesJarlais,Republican,Physician,"University of South Dakota (BS, MD)",2011,Sherwood,1964-02-21,57,DesJarlais,/123473/scott-desjarlais,1
352,Tennessee 5,Jim Cooper,Democratic,U.S. HouseCollege professor,"University of North Carolina at Chapel Hill (BA)Oriel College, Oxford (MA)Harvard University (JD)",2003,Nashville,1954-06-19,67,Cooper,/48891/jim-cooper,1
353,Tennessee 6,John Rose,Republican,Commissioner of Agriculture of Tennessee,"Tennessee Technological University (BS)Purdue University, West Lafayette (MS)Vanderbilt University (JD)",2019,Cookeville,1965-02-23,56,Rose,/180452/john-rose,1
354,Tennessee 7,Mark E. Green,Republican,Tennessee Senate,United States Military Academy (BS)University of Southern California (MA)Wright State University (MD),2019,Clarksville,1964-11-08,57,Green,/139030/mark-green,1
355,Tennessee 8,David Kustoff,Republican,Attorney for the United States District Court for the Western District of Tennessee,"University of Memphis (BA, JD)",2017,Germantown,1966-10-08,55,Kustoff,/48997/david-kustoff,1
356,Tennessee 9,Steve Cohen,Democratic,Tennessee SenateAttorney,Vanderbilt University (BA)University of Memphis (JD),2007,Memphis,1949-05-24,72,Cohen,/24340/steve-cohen,1
357,Texas 1,Louie Gohmert,Republican,Texas appeals court judge,Texas A&M University (BA)Baylor University (JD),2005,Tyler,1953-08-18,68,Gohmert,/50029/louie-gohmert,1
358,Texas 2,Dan Crenshaw,Republican,U.S. Navy SEAL,Tufts University (BA)Harvard University (MPA),2019,Houston,1984-03-14,37,Crenshaw,/177270/dan-crenshaw,1
359,Texas 3,Van Taylor,Republican,Texas SenateTexas House of Representatives,"Harvard University (BA, MBA)",2019,Plano,1972-08-01,49,Taylor,/147737/van-taylor,1
360,Texas 4,Pat Fallon,Republican,Texas SenateTexas House of RepresentativesUnited States Air Force second lieutenant,University of Notre Dame (BA),2021,Sherman,1967-12-19,54,Fallon,/115056/pat-fallon,1
361,Texas 5,Lance Gooden,Republican,Texas House of Representatives,"University of Texas, Austin (BA, BBA)",2019,Terrell,1982-12-01,39,Gooden,/116935/lance-gooden,1
362,Texas 7,Lizzie Pannill Fletcher,Democratic,Attorney,Kenyon College (BA)College of William and Mary (JD),2019,Houston,1975-02-13,46,Fletcher,/177031/lizzie-fletcher,1
363,Texas 8,Kevin Brady,Republican,Texas House of Representatives,University of South Dakota (BA),1997,The Woodlands,1955-04-11,66,Brady,/361/kevin-brady,1
364,Texas 9,Al Green,Democratic,Harris County Justice of the PeaceHouston NAACP president,Florida A&M UniversityTuskeegee University (BA)Texas Southern University (JD),2005,Houston,1947-09-01,74,Green,/49680/al-green,1
365,Texas 10,Michael McCaul,Republican,AttorneyFederal prosecutor,"Trinity University (BA)St. Mary's University, Texas (JD)",2005,Austin,1962-01-14,59,McCaul,/49210/michael-mccaul,1
366,Texas 11,August Pfluger,Republican,National Security CouncilUnited States Air Force Lieutenant colonel,United States Air Force Academy (BS) Embry–Riddle Aeronautical University (MS)  Air University (MS) Georgetown University (MS),2021,San Angelo,1978-12-28,43,Pfluger,/188165/august-pfluger,1
367,Texas 12,Kay Granger,Republican,Mayor of Fort Worth,Texas Wesleyan University (BA),1997,Fort Worth,1943-01-18,78,Granger,/334/kay-granger,0
368,Texas 13,Ronny Jackson,Republican,Chief Medical Advisor to the PresidentPhysician to the PresidentUnited States Navy Rear admiral,Texas A&M University (BS)University of Texas Medical Branch (MD),2021,Amarillo,1967-05-04,54,Jackson,/188325/ronny-jackson,1
369,Texas 14,Randy Weber,Republican,Texas House of RepresentativesPearland City Council,Alvin Community CollegeUniversity of Houston–Clear Lake (BS),2013,Friendswood,1953-07-02,68,Weber,/102026/randy-weber-sr,1
370,Texas 15,Vicente Gonzalez,Democratic,Food processing executiveTexas State Board of Education,Embry–Riddle Aeronautical University (BA)Texas Wesleyan University (JD),2017,McAllen,1967-09-04,54,Gonzalez,/166483/vicente-gonzalez,1
371,Texas 16,Veronica Escobar,Democratic,El Paso County CommissionEl Paso County Judge,"University of Texas, El Paso (BA)New York University (MA)",2019,El Paso,1969-09-15,52,Escobar,/99345/veronica-escobar,0
372,Texas 17,Pete Sessions,Republican,U.S. House,Southwestern University (BS),2021,Waco,1955-03-22,66,Sessions,/288/pete-sessions,1
373,Texas 18,Sheila Jackson Lee,Democratic,Houston City Council  Municipal judge,Yale University (BA)  University of Virginia (JD),1995,Houston,1950-01-12,71,Lee,/21692/sheila-jackson-lee,1
374,Texas 19,Jodey Arrington,Republican,EducatorPublic administratorWhite House aide,"Texas Tech University (BA, MPA)",2017,Lubbock,1972-03-09,49,Arrington,/155685/jodey-arrington,1
375,Texas 20,Joaquin Castro,Democratic,Texas House of Representatives,Stanford University (BA)Harvard University (JD),2013,San Antonio,1974-09-16,47,Castro,/49227/joaquin-castro,1
376,Texas 21,Chip Roy,Republican,First Assistant Attorney General of Texas,"University of Virginia (BS, MS)University of Texas, Austin (JD)",2019,Austin,1972-08-07,49,Roy,/177319/chip-roy,1
377,Texas 22,Troy Nehls,Republican,Sheriff of Fort Bend County,Liberty University (BA)University of Houston–Downtown (MA),2021,Richmond,1968-04-07,53,Nehls,/188334/troy-nehls,1
378,Texas 23,Tony Gonzales,Republican,United States Navy Master Chief Petty Officer,Chaminade University (AA)Excelsior College (BS)American Public University (MA),2021,San Antonio,1980-10-10,41,Gonzales,/188225/tony-gonzales,1
379,Texas 24,Beth Van Duyne,Republican,Mayor of Irving,Cornell University (BA),2021,Irving,1970-11-16,51,Duyne,/79150/beth-van-duyne,0
380,Texas 25,Roger Williams,Republican,Secretary of State of Texas,Texas Christian University (BA),2013,Austin,1949-09-13,72,Williams,/50112/roger-williams,1
381,Texas 26,Michael C. Burgess,Republican,Physician,"University of North Texas (BS, MS)University of Texas, Houston (MD)University of Texas at Dallas (MS)",2003,Pilot Point,1950-12-23,71,Burgess,/50120/michael-burgess,1
382,Texas 27,Michael Cloud,Republican,Chair of the Victoria County Republican Party,Oral Roberts University (BS),2018 (special),Victoria,1975-05-13,46,Cloud,/177350/michael-cloud,1
383,Texas 28,Henry Cuellar,Democratic,Texas House of RepresentativesTexas Secretary of State,"Laredo Community CollegeGeorgetown University (BA)University of Texas at Austin (JD, PhD)Texas A&M International University (MA)",2005,Laredo,1955-09-19,66,Cuellar,/5486/henry-cuellar,1
384,Texas 29,Sylvia Garcia,Democratic,Texas Senate,Texas Woman's University (BA)Texas Southern University (JD),2019,Houston,1950-09-06,71,Garcia,/49734/sylvia-garcia,0
385,Texas 30,Eddie Bernice Johnson,Democratic,Texas SenateNurse,"St Mary's College, IndianaTexas Christian University (BS)Southern Methodist University (MPA)",1993,Dallas,1935-12-03,86,Johnson,/27098/eddie-johnson,1
386,Texas 31,John Carter,Republican,Texas state district judge,Texas Tech University (BA)University of Texas at Austin (JD),2003,Round Rock,1941-11-06,80,Carter,/49296/john-carter,1
387,Texas 32,Colin Allred,Democratic,AttorneyFootball player,"Baylor University (BA)University of California, Berkeley (JD)",2019,Dallas,1983-04-15,38,Allred,/177357/colin-allred,1
388,Texas 33,Marc Veasey,Democratic,Texas House of Representatives,Texas Wesleyan University (BA),2013,Fort Worth,1971-01-03,50,Veasey,/49671/marc-veasey,1
389,Texas 34,Filemon Vela Jr.,Democratic,Attorney,Georgetown University (BA)University of Texas at Austin (JD),2013,Brownsville,1963-02-13,58,Vela,/137719/filemon-vela-jr,1
390,Texas 35,Lloyd Doggett,Democratic,Texas SenateTexas Supreme Court justiceCollege professor,"University of Texas at Austin (BA, JD)",1995,Austin,1946-10-06,75,Doggett,/21689/lloyd-doggett-ii,1
391,Texas 36,Brian Babin,Republican,Lower Neches Valley AuthorityTexas Historical CommissionMayor of Woodville,"Lamar University (BS)University of Texas, Houston (DDS)",2015,Woodville,1948-03-23,73,Babin,/360/brian-babin,1
392,Utah 1,Blake Moore,Republican,United States Foreign Service officer,University of Utah (BA)Northwestern University (MS),2021,Salt Lake City,1980-06-22,41,Moore,/191164/blake-moore,1
393,Utah 2,Chris Stewart,Republican,AuthorBusinessman,Utah State University (BA),2013,Farmington,1960-07-15,61,Stewart,/135930/chris-stewart,1
394,Utah 3,John Curtis,Republican,Mayor of Provo,Brigham Young University (BS),2017 (special),Provo,1960-05-10,61,Curtis,/123390/john-curtis,1
395,Utah 4,Burgess Owens,Republican,Businessman  National Football League player,University of Miami (BS),2021,Salt Lake City,1951-08-02,70,Owens,/191166/burgess-owens,1
396,Vermont at-large,Peter Welch,Democratic,Vermont Senate President Pro Tempore,"College of the Holy Cross (BA)University of California, Berkeley (JD)",2007,Norwich,1947-05-02,74,Welch,/51272/peter-welch,1
397,Virginia 1,Rob Wittman,Republican,Mayor of Montross  Westmoreland County Board of SupervisorsVirginia House of Delegates,Virginia Tech (BS)  University of North Carolina at Chapel Hill (MPH)  Virginia Commonwealth University (PhD),2007 (special),Montross,1959-02-03,62,Wittman,/58133/rob-wittman,1
398,Virginia 2,Elaine Luria,Democratic,U.S. Navy Commander,United States Naval Academy (BS)Old Dominion University (MS),2019,Norfolk,1975-08-15,46,Luria,/179677/elaine-luria,0
399,Virginia 3,Bobby Scott,Democratic,Virginia SenateVirginia House of Delegates,Harvard University (BA)Boston College (JD),1993,Newport News,1947-04-30,74,Scott,/27117/bobby-scott,1
400,Virginia 4,Donald McEachin,Democratic,Virginia SenateVirginia House of Delegates,American University (BA)University of Virginia (JD)Virginia Union University (MDiv),2017,Richmond,1961-10-10,60,McEachin,/8230/donald-mceachin,1
401,Virginia 5,Bob Good,Republican,Liberty University Athletic Director  Campbell County Board of Supervisors,"Liberty University (BS, MBA)",2021,Evington,1965-09-11,56,Good,/190745/bob-good,1
402,Virginia 6,Ben Cline,Republican,Virginia House of Delegates,Bates College (BA)University of Richmond (JD),2019,Rockbridge County,1972-02-29,49,Cline,/50959/ben-cline,1
403,Virginia 7,Abigail Spanberger,Democratic,CIA operations officer,University of Virginia (BA)Purdue University (MBA),2019,Glen Allen,1979-08-07,42,Spanberger,/179682/abigail-spanberger,0
404,Virginia 8,Don Beyer,Democratic,U.S. Ambassador to Switzerland and LiechtensteinLieutenant Governor of Virginia,Williams College (BA),2015,Alexandria,1950-06-20,71,Beyer,/1707/don-beyer-jr,1
405,Virginia 9,Morgan Griffith,Republican,Virginia House of Delegates,Emory and Henry College (BA)  Washington and Lee University (JD),2011,Salem,1958-03-15,63,Griffith,/5148/morgan-griffith,1
406,Virginia 10,Jennifer Wexton,Democratic,Virginia Senate,"University of Maryland, College Park (BA)College of William and Mary (JD)",2019,Leesburg,1968-05-27,53,Wexton,/147013/jennifer-wexton,0
407,Virginia 11,Gerry Connolly,Democratic,Fairfax County Board of Supervisors Chair,"Maryknoll College (Glen Ellyn, Illinois)[89] (BA)Harvard University (MPA)",2009,Fairfax,1950-03-30,71,Connolly,/95078/gerry-connolly,1
408,Washington 1,Suzan DelBene,Democratic,Washington Department of Revenue Director,Reed College (BS)University of Washington (MBA),2012 (special),Medina,1962-02-17,59,DelBene,/126272/suzan-delbene,0
409,Washington 2,Rick Larsen,Democratic,Snohomish County Council,Pacific Lutheran University (BA)University of Minnesota (MPA),2001,Everett,1965-06-15,56,Larsen,/56231/rick-larsen,1
410,Washington 3,Jaime Herrera Beutler,Republican,Washington House of Representatives,Bellevue CollegeUniversity of Washington (BA),2011,Battle Ground,1978-11-03,43,Beutler,/101907/jaime-herrera-beutler,1
411,Washington 4,Dan Newhouse,Republican,Washington House of Representatives,Washington State University (BS),2015,Sunnyside,1955-07-10,66,Newhouse,/51522/dan-newhouse,1
412,Washington 5,Cathy McMorris Rodgers,Republican,Washington House of Representatives,Pensacola Christian College (BA)University of Washington (MBA),2005,Spokane,1969-05-22,52,Rodgers,/3217/cathy-mcmorris-rodgers,1
413,Washington 6,Derek Kilmer,Democratic,Washington State Senate,"Princeton University (BA)University of Oxford (MA, PhD)",2013,Gig Harbor,1974-01-01,47,Kilmer,/51516/derek-kilmer,1
414,Washington 7,Pramila Jayapal,Democratic,Washington State Senate,Georgetown University (BA)Northwestern University (MBA),2017,Seattle,1965-09-21,56,Jayapal,/153141/pramila-jayapal,0
415,Washington 8,Kim Schrier,Democratic,Pediatrician,"University of California, Berkeley (BS)University of California, Davis (MD)",2019,Sammamish,1968-08-23,53,Schrier,/181124/kim-schrier,0
416,Washington 9,Adam Smith,Democratic,Washington State Senate,Western Washington UniversityFordham University (BA)University of Washington (JD),1997,Bellevue,1965-06-15,56,Smith,/845/adam-smith,1
417,Washington 10,Marilyn Strickland,Democratic,Mayor of Tacoma,University of Washington (BA)Clark Atlanta University (MBA),2021,Tacoma,1962-09-25,59,Strickland,/80596/marilyn-strickland,0
418,West Virginia 1,David McKinley,Republican,West Virginia House of DelegatesBusinessman,Purdue University (BS),2011,Wheeling,1947-03-28,74,McKinley,/117396/david-mckinley,1
419,West Virginia 2,Alex Mooney,Republican,Maryland Senate,Dartmouth College (BA),2015,Charles Town,1971-06-07,50,Mooney,/145943/alex-mooney,1
420,West Virginia 3,Carol Miller,Republican,West Virginia House of Delegates,"Columbia College, South Carolina (BA)",2019,Huntington,1950-11-04,71,Miller,/52123/carol-miller,0
421,Wisconsin 1,Bryan Steil,Republican,Congressional aideAttorney,Georgetown University (BS)University of Wisconsin–Madison (JD),2019,Janesville,1981-03-03,40,Steil,/181289/bryan-steil,1
422,Wisconsin 2,Mark Pocan,Democratic,Wisconsin State Assembly,University of Wisconsin–Madison (BA),2013,Vermont,1964-08-14,57,Pocan,/26238/mark-pocan,1
423,Wisconsin 3,Ron Kind,Democratic,County Prosecutor,Harvard University (BA)London School of Economics(MA)University of Minnesota (JD),1997,La Crosse,1963-03-16,58,Kind,/630/ron-kind,1
424,Wisconsin 4,Gwen Moore,Democratic,Wisconsin State SenateWisconsin State Assembly,Marquette University (BA),2005,Milwaukee,1951-04-18,70,Moore,/3457/gwen-moore,0
425,Wisconsin 5,Scott Fitzgerald,Republican,Wisconsin State Senate,University of Wisconsin–Oshkosh (BS),2021,Clyman,1963-11-16,58,Fitzgerald,/3446/scott-fitzgerald,1
426,Wisconsin 6,Glenn Grothman,Republican,Wisconsin SenateWisconsin State Assembly,"University of Wisconsin–Madison (BA, JD)",2015,Glenbeulah,1955-07-03,66,Grothman,/3493/glenn-grothman,1
427,Wisconsin 7,Tom Tiffany,Republican,Wisconsin SenateWisconsin State Assembly,University of Wisconsin–River Falls (BS),2020 (special),Minocqua,1957-12-30,64,Tiffany,/51831/tom-tiffany,1
428,Wisconsin 8,Mike Gallagher,Republican,Political advisorU.S. Marine Corps,"Princeton University (BA)National Intelligence University (MS)Georgetown University (MA, MS, PhD)",2017,Green Bay,1984-03-03,37,Gallagher,/171843/mike-gallagher,1
429,Wyoming at-large,Liz Cheney,Republican,Principal Deputy Assistant Secretary of State for Near Eastern Affairs,Colorado College (BA)University of Chicago (JD),2017,Wilson,1966-07-28,55,Cheney,/171319/liz-cheney,0
